HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Lyon,Ajaccio,H,6.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1
Crystal Palace,Arsenal,A,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,-1
Crystal Palace,Arsenal,A,2.0,2.0,3.0,5.0,0.0,1.3333333333333333,1.3333333333333333,0.0,-1
Ein Frankfurt,Bayern Munich,A,2.0,10.0,5.0,6.0,1.0,1.0,1.0,1.0,-1
Ein Frankfurt,Bayern Munich,A,2.0,10.0,5.0,6.0,1.3333333333333333,2.1818181818181817,2.1818181818181817,1.3333333333333333,-1
Lyon,Ajaccio,H,6.0,4.0,4.0,3.0,2.5,0.29411764705882354,0.29411764705882354,2.5,1
Leeds,Wolves,H,4.0,6.0,6.0,4.0,1.0,1.0,1.0,1.0,1
Bournemouth,Aston Villa,H,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1
Fulham,Liverpool,D,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,0
Clermont,Paris SG,A,1.0,12.0,0.0,6.0,1.0,1.0,1.0,1.0,-1
Augsburg,Freiburg,A,2.0,7.0,5.0,8.0,1.0,1.0,1.0,1.0,-1
Bochum,Mainz,A,3.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,-1
M'gladbach,Hoffenheim,H,8.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1
Union Berlin,Hertha,H,8.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,1
Wolfsburg,Werder Bremen,D,3.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,0
Dortmund,Leverkusen,H,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1
Strasbourg,Monaco,A,7.0,11.0,3.0,7.0,1.0,1.0,1.0,1.0,-1
Newcastle,Nott'm Forest,H,10.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1
Fulham,Liverpool,D,3.0,4.0,4.0,4.0,1.44,0.9473684210526315,0.9473684210526315,1.44,0
